"","season","hour","plant.scale","top","a","b","R2","site_name"
"130","Winter (DJF)","All Hours","scale_1x","Top 2%",0.513939040628059,0.80223189447613,0.98000852559902,"Fresno-Clovis"
"131","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.630831779112285,-0.441569714001624,0.981277054988735,"Fresno-Clovis"
"132","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.683592626208391,0.316316840030128,0.980333759346443,"Fresno-Clovis"
"133","All","All Hours","scale_1x","Top 2%",0.515019310715306,0.494289004396104,0.983041860929763,"Fresno-Clovis"
"134","All","High Mixing Hours","scale_1x","Top 2%",0.460487494722837,0.304257103350761,0.950909146797705,"Fresno-Clovis"
"135","All","Low Mixing Hours","scale_1x","Top 2%",0.563286857541092,0.595691220431474,0.989727416643743,"Fresno-Clovis"
"136","Spring (MAM)","All Hours","scale_1x","Top 2%",0.565527044722916,0.201711670560395,0.954231692798687,"Healdsburg_WRF"
"137","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.446946194301426,0.376115516582469,0.945614873927636,"Healdsburg_WRF"
"138","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.62088891038087,0.282583509345119,0.96957670514759,"Healdsburg_WRF"
"139","Summer (JJA)","All Hours","scale_1x","Top 2%",0.585197667494811,0.116037027001187,0.957552311952703,"Healdsburg_WRF"
"140","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.461596104503219,0.205778413788471,0.789742161633563,"Healdsburg_WRF"
"141","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.719606947560631,-0.191871480419091,0.97881426536161,"Healdsburg_WRF"
"142","Fall (SON)","All Hours","scale_1x","Top 2%",0.590353180325759,0.302540086668462,0.973836112770238,"Healdsburg_WRF"
"143","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.495440788670685,0.127645114506937,0.933573387402533,"Healdsburg_WRF"
"144","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.637919130124633,0.291323006013061,0.98000711542763,"Healdsburg_WRF"
"145","Winter (DJF)","All Hours","scale_1x","Top 2%",0.577984931008473,0.557937733061473,0.973495564403171,"Healdsburg_WRF"
"146","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.631543066800171,-0.291743860060334,0.974875166826039,"Healdsburg_WRF"
"147","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.666690730425513,0.392036846200477,0.954880021778195,"Healdsburg_WRF"
"148","All","All Hours","scale_1x","Top 2%",0.550800202620713,0.338566726040773,0.949742320282492,"Healdsburg_WRF"
"149","All","High Mixing Hours","scale_1x","Top 2%",0.442433529823969,0.428480376085456,0.953350067566122,"Healdsburg_WRF"
"150","All","Low Mixing Hours","scale_1x","Top 2%",0.598119215217148,0.418851429693803,0.98913275644624,"Healdsburg_WRF"
"151","Spring (MAM)","All Hours","scale_1x","Top 2%",0.623032174527326,0.224524368505458,0.985168432750477,"IEUA_Plant"
"152","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.422723298348914,0.384349991247337,0.752084380468282,"IEUA_Plant"
"153","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.728705233063498,-0.0648088117399857,0.97415850624041,"IEUA_Plant"
"154","Summer (JJA)","All Hours","scale_1x","Top 2%",0.655326013993259,0.099016242506302,0.978118205122763,"IEUA_Plant"
"155","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.393227786479965,0.512356907427525,0.701672613310119,"IEUA_Plant"
"156","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.722573947755849,-0.0663667533299526,0.979260526530333,"IEUA_Plant"
"157","Fall (SON)","All Hours","scale_1x","Top 2%",0.657267592407471,0.218190422607098,0.981483516113506,"IEUA_Plant"
"158","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.600368562350817,-0.306802268138768,0.971721611291583,"IEUA_Plant"
"159","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.691579085211629,0.204898432506806,0.979369359157397,"IEUA_Plant"
"160","Winter (DJF)","All Hours","scale_1x","Top 2%",0.635265338865954,0.389102594238336,0.976712445671108,"IEUA_Plant"
"161","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.490661652258552,0.595463827972243,0.974283153019938,"IEUA_Plant"
"162","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.656263541098278,0.360602742550726,0.969804916926089,"IEUA_Plant"
"163","All","All Hours","scale_1x","Top 2%",0.616318772640238,0.34111383110004,0.980218139500858,"IEUA_Plant"
"164","All","High Mixing Hours","scale_1x","Top 2%",0.522476059902403,-0.0707388140866719,0.936885183440447,"IEUA_Plant"
"165","All","Low Mixing Hours","scale_1x","Top 2%",0.649093413523281,0.32647911401822,0.973963859421585,"IEUA_Plant"
"166","Spring (MAM)","All Hours","scale_1x","Top 2%",0.683918330648377,-0.0239784662249722,0.981690253325095,"Joint_WPCA"
"167","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.421936615796194,0.359750255716654,0.795805708981936,"Joint_WPCA"
"168","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.700410774888249,0.0194721101653884,0.975802682499269,"Joint_WPCA"
"169","Summer (JJA)","All Hours","scale_1x","Top 2%",0.695112827194417,-0.159765677934524,0.979687019276373,"Joint_WPCA"
"170","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.411129498289725,0.407250019649004,0.636374822543035,"Joint_WPCA"
"171","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.700090730717037,-0.0795585199375976,0.981536944837858,"Joint_WPCA"
"172","Fall (SON)","All Hours","scale_1x","Top 2%",0.663451779605875,0.161822291223047,0.98090099010839,"Joint_WPCA"
"173","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.638412390009767,-0.446011204087599,0.980852451876536,"Joint_WPCA"
"174","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.661796016618411,0.281293592554053,0.988021378659154,"Joint_WPCA"
"175","Winter (DJF)","All Hours","scale_1x","Top 2%",0.699150583266892,0.0539486120270687,0.981169511231987,"Joint_WPCA"
"176","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.579148401284844,0.0716130333612759,0.975164045157282,"Joint_WPCA"
"177","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.699987249532311,0.258351313394794,0.981132838517839,"Joint_WPCA"
"178","All","All Hours","scale_1x","Top 2%",0.681928189915887,0.0318663017055876,0.982522896405096,"Joint_WPCA"
"179","All","High Mixing Hours","scale_1x","Top 2%",0.569883024071235,-0.34072154430289,0.923847633168777,"Joint_WPCA"
"180","All","Low Mixing Hours","scale_1x","Top 2%",0.710800748610566,0.0196712945160957,0.979767466920275,"Joint_WPCA"
"181","Spring (MAM)","All Hours","scale_1x","Top 2%",0.551012476830317,-0.168309479149818,0.949259476324836,"Lancaster_WPP"
"182","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.397954247391351,0.530792311813645,0.817941098173581,"Lancaster_WPP"
"183","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.598615975557671,-0.237870904922795,0.982129144924373,"Lancaster_WPP"
"184","Summer (JJA)","All Hours","scale_1x","Top 2%",0.607796161351335,-0.518950497886734,0.942027963914125,"Lancaster_WPP"
"185","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.397742355502516,0.479523411011024,0.704787198752031,"Lancaster_WPP"
"186","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.63741682940407,-0.580541973260663,0.967056766647575,"Lancaster_WPP"
"187","Fall (SON)","All Hours","scale_1x","Top 2%",0.57040214441074,0.0256329395169053,0.989661062175839,"Lancaster_WPP"
"188","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.45724104835943,0.261630902402096,0.888797422817886,"Lancaster_WPP"
"189","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.6343582466949,-0.0381814451032828,0.984503289822315,"Lancaster_WPP"
"190","Winter (DJF)","All Hours","scale_1x","Top 2%",0.569315723552651,0.174871413640708,0.987676334251268,"Lancaster_WPP"
"191","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.443385200129307,0.4284324528846,0.922923305985427,"Lancaster_WPP"
"192","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.654516010487094,0.155577921953031,0.984345737436787,"Lancaster_WPP"
"193","All","All Hours","scale_1x","Top 2%",0.552338543455765,0.0124037662535798,0.980074714884218,"Lancaster_WPP"
"194","All","High Mixing Hours","scale_1x","Top 2%",0.411531977653218,0.493612620945022,0.840228637800025,"Lancaster_WPP"
"195","All","Low Mixing Hours","scale_1x","Top 2%",0.579818271736255,0.134085344167555,0.984955844571592,"Lancaster_WPP"
"196","Spring (MAM)","All Hours","scale_1x","Top 2%",0.57471263450031,-0.137872486733564,0.971670833795069,"MONTEREY_WPCA"
"197","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.425489590781219,0.421217992256549,0.845343062463843,"MONTEREY_WPCA"
"198","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.570508802431802,0.14630690357822,0.97397898206088,"MONTEREY_WPCA"
"199","Summer (JJA)","All Hours","scale_1x","Top 2%",0.623762631669094,-0.432028683529177,0.965260655329184,"MONTEREY_WPCA"
"200","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.428265168730573,0.417226792759606,0.860612642031208,"MONTEREY_WPCA"
"201","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.610221396325965,-0.185330691451984,0.985120980179806,"MONTEREY_WPCA"
"202","Fall (SON)","All Hours","scale_1x","Top 2%",0.526081718926788,0.543456186502454,0.978923643957357,"MONTEREY_WPCA"
"203","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.458375400604029,0.283519215510397,0.925381018777018,"MONTEREY_WPCA"
